name	2016-05-20	2016-05-21	2016-05-22	2016-05-23	2016-05-24	2016-05-25	2016-05-26	2016-05-27	2016-05-28	2016-05-29	2016-05-30	2016-05-31	2016-06-01	2016-06-02	2016-06-03	2016-06-04	2016-06-05	2016-06-06	2016-06-07	2016-06-08	2016-06-09	2016-06-10	2016-06-11	2016-06-12	2016-06-13	2016-06-14
超能太监2黄金右手	8980	14408	12659	6947	6250	5828	5968	9009	14283	11526	5836	5685	5446	5112	7135	10388	9285	5793	5518	6875	8755	7793	6705	4701	3876	3810
古惑仔	8678	11183	9206	6482	6425	6129	5915	6628	8288	8182	5465	5152	4912	5375	5867	6874	7340	5555	6429	6266	6963	7210	5675	5085	4516	4736
中国惊奇先生	8566	10405	8318	5150	6439	6745	7994	10738	12480	9386	5675	6111	6117	6655	8474	9951	8962	6173	6114	7107	9307	8118	7151	4840	4536	4281
超能太监	8524	13717	10653	5734	5389	4850	4717	6408	9492	6550	3505	3264	3301	3472	4554	6502	5817	3936	3844	4916	6425	5721	4395	3158	2745	2514
钢铁侠	8485	11706	10062	5809	5644	5201	5185	7228	10206	8169	3874	4301	4176	3690	5197	7405	7296	5232	5317	6612	7669	6168	5241	3894	3436	3421
天天向上	8483	32396	17815	9962	7536	6408	5773	7323	20925	6705	4571	4472	3585	3688	5391	15904	8789	6320	6267	5881	6313	6672	10354	4730	3942	4668
错了性别不错爱2	8400	11034	7397	3569	3213	2506	2417	3565	4791	3339	1732	1745			1955	2632	2796	2197		2159						
李连杰	8389	10305	10439	8243	8122	8808	9176	8694	10082	9630	7557	7744	7521	7543	7980	8305	8871	7916	8118	8367	8783	7855	8267	8243	7931	7868
老炮儿	8281	11955	9230	4887	4824	4878	5189	7992	11920	9234	4412	4622	4984	4919	6842	10074	11553	8130	7200	9005	12451	10374	8579	6365	5987	6383
爱情保卫战	8260	7321	7432	6434	6015	6312	7444	8457	8248	7942	5952	6584	6727	7640	8160	7655	7267	5425	6061	5881	6691	7178	6732	6281	5684	6161
玉海棠	8250	8207	10427	10526	11290	13247	16064	16906	17775	18495	19107	20030	21332	19978	9553	6920	6402	5184	4400	4016	3880	3539	3256	3074	2711	2492
好想好想爱上你	8203	6560	8439	9774	10580	11537	12108	13042	12944	9173	6876	6631	6135	9000	9795	9078	8119	6295	5812	5167	4270	3851	3853	3197	2814	2597
太子妃升职记	8111	10513	11365	6813	6280	6325	6074	10844	16600	14627	8592	8337	8808	8540	9650	11799	12973	10292	10627	11625	13435	12970	12130	9229	9038	9546
七龙珠	8059	12262	10961	6711	7323	6940	6928	9186	12103	11057	6942	6849	6932	6441	7631	10295	10939	7951	7596	8368	10898	10705	9830	7415	6679	6690
金星秀 2016	8058	7095	8053	4905	4299	4999	11234	7015	5461	4495	2868	3479	3391	7792	4510	5052	4628	3205	3478	4082	9553	6532	4810	3793	3167	3507
来吧冠军	7890	9229	17502	23850	7299	6316	6651	7092	9382	14242	17163	6064	4217	5387	5586	8608	12017	17629	5893	4750	4820	3979	5333	7494	11755	4437
鸭王1电影完整版	7639	10986	8765	5057	4910	5104	4258	5075	5769	4596	2975	3180	2953	2963	3684	4643	4415	3606	3583	4001	4999	4831	4427	3560	3158	2944
万万没想到	7597	13373	11291	5086	4890	4744	5234	6873	11143	9912	4560	5066	5476	5055	7411	16948	17854	8142	7130	8891	12180	9988	9066	4785	4360	4252
头号前妻	7511	5935	5532	4650	4256	3839	3560	3636	3365	3055	2511	2287	2193	2282	2284											
死侍	7449	11217	9134	4740	5264	5321	5385	5791	7316	6464	3402	5725	7416	6379	6327	6720	6855	5763	5201	5467	7002	5870	5221	4030	3460	3963
电影	7439	10450	7844	4216	3824	4197	5112	5910	8961	7886	3421	3905	4380	4269	5585	8077	8867	5621	5034	6338	9448	8566	7195	5266	4573	4345
功夫熊猫	7417	10285	8244	4033	4065	3161	3326	4482	6046	4713	2339	2625	2822	2511	3188	4278	4062	2991	3065	3542	4350	4431	3886	2673	2262	2555
成龙电影全部的电影	7341	9311	8869	7600	7645	7705	7973	9081	9739	9076	6688	6986	7398	7140	7572	8294	9033	7468	7741	8088	9020	9071	8942	7846	7411	7636
琅琊榜	7312	7545	7484	5622	5343	5453	5574	5318	5810	6092	5018	5514	5782	5615	5738	6019	6770	5628	6123	6048	6852	7224	8506	7790	6890	7072
奔跑吧兄弟	7298	38185	14568	6043	4262	3640	3321	5387	22688	9814	3869	2972	2606	2281	3247	13228	6842	3859	3151	3038	3743	4296	12803	5278	3481	2751
荒野猎人	7288	9679	8317	5280	4694	4593	4237	4618	5690	4584	3086	2955	2803	2708	2944	3706	4364	3442	3030	3247	4086	4113	3597	3185	2616	2708
色戒	7275	15352	11367	5942	5155	5544	5670	7282	9586	8733	6029	5677	6017	5837	5983	7708	7676	6107	5880	6691	8329	9884	9024	6439	6378	6480
明星大侦探	7240	8367	10361	21720	11512	7960	7961	11905	13847	15899	16958	6316	4981	6660	8670	10227	13852	19128	7633	6430	6392	5748	8878	10433	17672	6961
GoodbyeMrblack	7083	3954	2752																							
复仇者联盟2：奥创纪元	7046	10776	8568	4246	3978	3853	4020	5914	9000	6762	3108	3209	3325	3112	4459	6782	6957	4873	4713	5646	7692	6528	5076	3504	3074	3119
奶酪陷阱全集	6997	8366	8492	5961	6711	5097	2066																			
女汉子真爱公式	6978	24532	45273	18966	14562	13448	10761	12525	16589	16807	8164	7781	9416	7619	9933	12668	11870	8137	8734	9574	11582	10531	8835	6589	5784	5964
谁的青春不迷茫电影完整版	6928	10630	7871	3636	3737	12076	13472	15090	18308	16310	6794	7064	6136	6421	8728	11561	11129	8130	7551	9432	10947	8813	6814	5241	4284	4222
疯狂动物城国语版	6829	9933	11075	4856	4016	2747	3226	2785	3724	2822																
最好的我们电视剧	6828	10730	9676	5044	4677	4651	4683	8394	11491	10933	5192	5345	4670	4829	7327	10974	11685	8012	7377	9360	10949	11484	12490	10338	8396	7882
甄嬛传	6794	6801	6924	6214	6020	6561	6542	7090	7149	7395	6207	6722	6494	6708	6858	7214	7829	6510	6586	6668	6954	7975	7632	7145	6895	7185
非常完美	6778	10466	19481	8393	5783	4942	4422	5890	8857	13557	6519	5379	4724	4219	5075	7413	12729	6690	5328	5402	5773	5813	6569	10246	6814	5551
我的少女时代	6739	10958	8266	3877	3869	4216	4131	5435	8035	6124	2800	3000	3203	4239	5697	7381	7393	5994	5613	7163	9069	8082	6517	5164	4260	4633
四大名助	6713	3527	4135	2959	2925	2828	3166	7027							2958											
邓超	6628	10481	8362	4163	4001	4202	4713	6323	9818	8279	3992	4086	4123	4061	4787	7199	6699	4553	4560	6135	7600	7004	6162	3927	3801	3522
侠岚 第六季	6623	4866	2737					6408	5160	2842				1797	6333	4675	3144	1854		2495	3885	7436	4237	2148		
林心如	6609	7540	5943	3780	3406	2919	2798	3629	4023	3056	1906	2211	2178	2246	2604	2930	2684	1907						1926		1855
爱人	6466	8507	7891	5116	5369	5682	5159	5807	6956	5789	4346	4685	4727	4920	5290	6500	6357	4781	5153	5858	6754	6907	6043	5300	4594	4814
那年我们青春正好	6445	12493	5123	3379	2825	3212	2812	2556	2628	2525	1754	1934	1718													
西游记	6434	10171	8487	5302	4956	5292	5130	6682	9585	7938	5248	6164	6519	6215	7057	10510	9472	5879	5842	6996	9171	8966	7839	5415	4854	5127
大发	6383	5745	5348	3895	5489	8145	4478	2989			1831	4705	4969	2726	2223			3293	4767	3506	2668		3618	4305	3576	5967
信号	6380	7170	7341	5200	5044	4574	4892	4509	4285	4217	3569	3821	3589	3734	4092	8867	9730	6902	6653	6478	6211	6417	6109	5315	4272	4319
笔仙诡影	6367	7384	5227	3138	2656	2277															2845	2855		2400		
又是吴海英	6358	5638	4836	4362	8403	9513	5303	3315	3155	2533	2280	9417	12085	4690	4147	3574	3404	6642	17938	11179	8497	8580	12971	13026	14870	23873
笑傲帮	6315	10242	7415	6763	6205	5806	5442	7336	11507	10317	7235	6650	6033	5758	7207	12142	11000	7641	7035	6763	7433	8439	15898	9753	7466	6732
错了性别不错爱	6295	8427	5604	2700	2491	2634	2660	3923	5437	4244	1904	1965	1939	2009	2641	3623	4042	3162	2826	2909	3879	3755	2971	2202	1894	1915
一路向西	6283	9549	8738	7213	9833	9741	9264	10176	11305	8856	5499	5964	5575	5533	6752	8531	8828	7052	7033	7791	8636	9809	7662	6289	5818	5708
大话西游	6146	7368	6394	4224	3914	3629	3566	3754	4869	3750	2703	3118	2956	2719	3344	4408	4025	3077	2703	3254	3517	3106	2794	2066	1667	1755
分歧者3：忠诚世界	6128	8191	8818	6408	6805	9408	7269	5555	5798	5151	3065	3096	4026	3788	3602	4410	4661	3343	3236	3323	3511	3086	2990	2515	2063	1960
洪金宝	6119	6836	7386	6587	6456	6668	6729	6745	6274	5446	4221	5498	5226	5283	5757	5168	5571	5372	5723	5529	6172	6247	6104	5498	5276	5870
恐怖片	6103	9966	8486	6308	6320	6474	6421	7686	11100	9519	5999	8087	7108	6491	7582	9508	9809	5842	6678	6709	8476	8606	8172	6268	6114	6024
苹果	6081	7799	7858	4771	3904	4185	3988	5009	5447	4896	3468	3819	3721	3889	4382	5191	5726	4755	5425	18521	15669	12050	10017	9491	5752	5443
我想和你唱	6002	12511	36514	19534	13752	10005	7714	7352	14116	25910	13846	10589	8184	7029	6761	10841	18133	13755	11626	9768	12620	11774	14330	20749	15007	11723
我是歌手第四季	5994	9218	8155	4791	4667	4546	4071	4122	5170	4373	2838	2718	2769	2584	3084	3966	4135	3084	3075	3215	4081	3926	3572	3010	2535	2634
鸭王1	5982	8572	6830	3777	3694	3454	3017	3499	4044	3095	2021	2166	2182	2215	2678	3388	3239	2594	2417	2610	3253	3089	2636	2353	1801	1960
韩国电影大全	5975	9392	7581	4623	5438	6362	6164	7486	8053	7154	6478	5965	6937	5027	7965	8834	8013	5777	6828	7819	10273	10892	10033	8589	7396	8626
鬼片大全电影	5973	10630	9195	6181	7167	6716	5730	7244	12248	11079	6751	7868	8141	7784	8926	11349	10672	7257	7023	9196	12586	12159	10634	7607	6473	7604
睡在我上铺的兄弟电影	5873	8422	6956	3764	4025	4016	6061	9829	12145	10546	5421	5917	5800	7031	13748	14232	11770	8362	7207	8176	8258	7192	6467	5998	5410	5045
百鸟朝凤	5816	6624	5766	4288	3805	3009	3023	3002	3058	2764	1942	1940	1745	1813												
华丽的外出	5740	8393	7104	4079	3957	4164	3537	3955	4802	4118	2563	2706	2607	2693	3425	4495	4460	3267	3387	4663	5324	5681	4934	3995	3638	3761
盗墓笔记	5712	9934	7203	4051	3829	3496	3663	5672	8854	6949	3454	3235	3317	3733	5925	9325	8884	5806	5473	6861	10328	8602	6852	4859	4484	4555
山炮进城2	5694	8012	6840	4248	5079	5177	5479	7040	9228	7592	4777	4690	4708	4816	5782	6980	7262	5505	5564	6513	7118	7135	6326	4918	4640	4158
熊出没	5644	8279	7853	5030	4862	4870	5161	6089	8212	7832	4668	5106	5863	5386	6481	8979	9304	6050	6516	7380	11614	12105	10290	6962	6152	6298
美国队长2	5639	8141	6732	3849	3586	3002	3127	4247	5885	4531	2244	2302	2180	2328	2825	3994	3869	2923	2827	3703	3773	3246	2798	2016	1850	1745
